#NVAR: 8
#VARNAMES: ROW  MJD Duration PWV PWV_ERR Pressure Temp Tdelay

# Suominet file: CTIO_2013global.plt 
ROW: 20130810/0915  56514.38542  30  3.1  0.4  779.0  9.4  1796.8 
ROW: 20130810/0945  56514.40625  30  2.6  0.4  779.6  10.4  1795.2 
ROW: 20130810/1014  56514.42708  30  2.8  0.6  780.0  10.6  1797.2 
ROW: 20130810/1045  56514.44792  30  2.9  0.5  780.0  11.1  1798.2 
ROW: 20130810/1115  56514.46875  30  2.9  0.5  780.0  11.2  1797.8 
ROW: 20130810/1144  56514.48958  30  3.4  0.5  780.7  11.9  1803.0 
ROW: 20130810/1215  56514.51042  30  3.4  0.5  781.0  12.2  1803.1 
ROW: 20130810/1245  56514.53125  30  2.8  0.4  781.0  12.8  1799.5 
ROW: 20130810/1314  56514.55208  30  2.5  0.7  781.3  13.4  1798.2 
ROW: 20130810/1345  56514.57292  30  2.1  0.7  782.0  14.1  1797.3 
ROW: 20130810/1415  56514.59375  30  2.7  0.4  782.0  14.6  1801.1 
ROW: 20130810/1444  56514.61458  30  2.7  0.4  782.0  14.9  1801.5 
ROW: 20130810/1515  56514.63542  30  2.3  0.4  782.0  15.2  1798.4 
ROW: 20130810/1545  56514.65625  30  2.2  0.6  782.2  15.0  1798.6 
ROW: 20130810/1614  56514.67708  30  1.8  1.1  782.0  15.6  1795.2 
ROW: 20130810/1645  56514.69792  30  1.7  0.9  782.0  15.7  1794.9 
ROW: 20130810/1715  56514.71875  30  2.3  0.4  782.0  16.2  1798.7 
ROW: 20130810/1744  56514.73958  30  2.4  0.4  782.0  15.8  1799.1 
ROW: 20130810/1815  56514.76042  30  2.5  0.3  781.9  16.2  1799.7 
ROW: 20130810/1845  56514.78125  30  2.6  0.6  781.0  16.5  1798.4 
ROW: 20130810/1914  56514.80208  30  2.9  0.9  781.0  16.3  1800.0 
ROW: 20130810/1945  56514.82292  30  3.0  0.7  781.0  16.1  1800.6 
ROW: 20130810/2015  56514.84375  30  3.0  0.4  781.0  15.2  1800.9 
ROW: 20130810/2044  56514.86458  30  3.0  0.5  781.0  14.6  1801.0 
ROW: 20130810/2115  56514.88542  30  2.4  0.4  781.0  14.5  1797.2 
ROW: 20130810/2145  56514.90625  30  2.7  0.4  781.0  13.4  1798.7 
ROW: 20130810/2214  56514.92708  30  2.5  0.5  781.0  12.8  1797.7 
